,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,   -0.6738,    0.242,   -2.787, 0.005,   -1.148,   -0.200
2,ar.L2,   -0.0305,    0.029,   -1.047, 0.295,   -0.088,    0.027
3,ma.L1,   -0.3053,    4.086,   -0.075, 0.940,   -8.314,    7.703
4,ma.L2,   -0.6947,    2.845,   -0.244, 0.807,   -6.271,    4.881
5,ma.S.L5,   -0.0183,    0.027,   -0.665, 0.506,   -0.072,    0.036
6,ma.S.L10,   -0.0022,    0.026,   -0.082, 0.934,   -0.054,    0.049
7,sigma2,    2.4842,   10.132,    0.245, 0.806,  -17.375,   22.343
