,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,   -0.9772,    0.254,   -3.852, 0.000,   -1.475,   -0.480
2,ar.L2,   -0.0885,    0.046,   -1.920, 0.055,   -0.179,    0.002
3,ma.L1,   -0.1325,    0.249,   -0.531, 0.595,   -0.621,    0.356
4,ma.L2,   -0.8694,    0.250,   -3.481, 0.000,   -1.359,   -0.380
5,ma.S.L5,   -0.0268,    0.031,   -0.864, 0.387,   -0.088,    0.034
6,ma.S.L10,    0.0169,    0.031,    0.547, 0.584,   -0.044,    0.077
7,sigma2,    0.0032, 9.02e-05,   35.089, 0.000,    0.003,    0.003
