,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,   -0.8833,    0.077,  -11.530, 0.000,   -1.033,   -0.733
2,ar.L2,   -0.0662,    0.019,   -3.406, 0.001,   -0.104,   -0.028
3,ma.L1,    0.1553,    7.534,    0.021, 0.984,  -14.612,   14.922
4,ma.L2,   -1.1553,    8.736,   -0.132, 0.895,  -18.277,   15.967
5,ma.S.L5,   -0.0528,    0.024,   -2.215, 0.027,   -0.099,   -0.006
6,ma.S.L10,   -0.0241,    0.021,   -1.128, 0.259,   -0.066,    0.018
7,sigma2,    3.1385,   23.753,    0.132, 0.895,  -43.417,   49.694
