,ds,yhat,yhat_lower,yhat_upper,Adj Close
1212,2019-11-01,305.32987697398227,296.39161628103716,313.9179059709252,304.642242
1213,2019-11-04,306.179858084276,296.9433399108457,314.30955617020857,305.86621099999996
1214,2019-11-05,306.6702947582414,298.74638777315494,315.23930748835716,305.52786299999997
1215,2019-11-06,306.97416134063934,298.4108814613552,315.4824225589248,305.597534
1216,2019-11-07,307.3361362250181,299.73489607960835,315.4402907207299,306.67224100000004
1217,2019-11-08,307.56225576862704,299.0184351185029,315.64590735866125,307.428528
1218,2019-11-11,308.29802402735385,300.2947951844253,316.06807317861626,306.8414
1219,2019-11-12,308.7535057138496,300.7532896779679,316.69406949908637,307.48822
1220,2019-11-13,309.0262481629303,301.02655338474784,317.63929747809993,307.587738
1221,2019-11-14,309.3620160921144,301.14917864210634,317.83143518276245,308.035522
1222,2019-11-15,309.56769147089756,301.5621842501061,317.5063822922047,310.264587
1223,2019-11-18,310.28094937278104,302.41078304691723,318.7944003819919,310.493439
1224,2019-11-19,310.7417579666264,302.77722964823374,319.3243251324726,310.4039
1225,2019-11-20,311.02540680228907,302.55812630204275,319.23430058478294,309.249542
1226,2019-11-21,311.3767073906596,302.965599914253,319.93449751229997,308.75201400000003
1227,2019-11-22,311.60131647380234,302.8625098258818,320.58529754638187,309.438629
1228,2019-11-25,312.37620381378616,303.9013056862568,320.4979050654844,311.83685299999996
1229,2019-11-26,312.85318760740586,303.96205502783516,321.07295908098064,312.543365
1230,2019-11-27,313.1476373796257,304.26928552506365,321.74640785960395,313.936523
1231,2019-11-29,313.72148359468935,304.91832803029183,322.35876698715714,312.772247
1232,2019-12-02,314.4095444575674,306.0136769772572,322.643825220168,310.115326
1233,2019-12-03,314.8303577632471,306.438426783591,323.0615107713599,308.035522
1234,2019-12-04,315.0539089416413,306.71844027455523,322.76486075037394,309.936188
1235,2019-12-05,315.32300613037245,307.27987143753353,323.2852037455801,310.493439
1236,2019-12-06,315.4418136816022,307.02803561858417,324.6063429692317,313.329498
1237,2019-12-09,315.75190747524414,307.0623087584791,323.6251140778224,312.34436
1238,2019-12-10,316.02627945578246,308.014642841165,324.4248184186087,311.996063
1239,2019-12-11,316.096780030789,307.48819985697816,324.95194579768224,312.881714
1240,2019-12-12,316.20887884467265,308.1429613540955,324.8149494794311,315.578461
1241,2019-12-13,316.16965387109406,307.62055178845867,324.2753501556489,315.767517
1242,2019-12-16,316.03093144111006,307.5372428720984,324.3790282402246,317.93685899999997
1243,2019-12-17,316.17487090387743,307.6608307967605,324.45243917513625,318.006531
1244,2019-12-18,316.12974079015555,307.312448149018,324.28095716591173,318.026398
1245,2019-12-19,316.143873756346,308.39732873510076,324.3109570107497,319.329987
1246,2019-12-20,316.02692267924226,308.0459725870002,324.6885335265602,320.730011
1247,2019-12-23,315.7964188944798,307.3053099018779,323.57859366355996,321.22000099999997
1248,2019-12-24,315.9612098671233,307.40517169567227,324.73960590707946,321.230011
1249,2019-12-26,316.0512260783089,307.5798309120974,324.36176606173814,322.940002
1250,2019-12-27,316.0331490845689,307.4803328482616,324.41689903569977,322.859985
1251,2019-12-30,316.2331230768704,307.7981958791366,324.9384425476013,321.079987
1252,2019-12-31,316.5775483429463,307.94728561799485,324.57973535202785,321.859985
1253,2020-01-01,316.7721920447685,308.5798854333226,324.5319301678254,
1254,2020-01-02,317.06131422238684,309.0812977463283,325.61088132704464,324.869995
1255,2020-01-03,317.2496830738724,309.1596613244367,325.93546780458996,322.410004
1256,2020-01-04,317.86295909269734,309.47175061991436,326.52828816851627,
1257,2020-01-05,318.180068683724,310.0450612941669,326.8086251812953,
1258,2020-01-06,318.0583547101301,309.5940295773269,326.0225541730684,323.640015
1259,2020-01-07,318.5886296772187,310.4113899000613,327.54091564816014,322.730011
1260,2020-01-08,318.95427266160357,310.4750557132921,327.6934205512266,324.450012
1261,2020-01-09,319.39619927427475,310.298029246315,327.75256184901343,
1262,2020-01-10,319.7162528280379,311.4026910091148,327.9605234111936,
1263,2020-01-11,320.4376613932371,312.170655527878,328.39574326087956,
1264,2020-01-12,320.83747277544904,312.5575565435619,329.16562418794507,
1265,2020-01-13,320.77175322504564,312.5227654713676,329.42418231436915,
1266,2020-01-14,321.3306742710338,313.3413611313083,329.8161575241284,
1267,2020-01-15,321.6976278392917,313.9986928981445,329.9674931660982,
1268,2020-01-16,322.1141983870188,313.69583075498275,330.410220432236,
1269,2020-01-17,322.3835400751715,314.1756657874778,330.23273505383844,
1270,2020-01-18,323.03080392759364,314.34917978395316,330.6959797731935,
1271,2020-01-19,323.3355276833513,314.7460155481326,332.3206006897023,
1272,2020-01-20,323.15677521682255,314.5524755248014,331.21519921307726,
1273,2020-01-21,323.58815134771595,314.81009339129713,332.0274402717174,
1274,2020-01-22,323.8168339597209,315.39292893080017,331.86229720991867,
1275,2020-01-23,324.0884542019152,315.1595461638395,332.8560937722389,
1276,2020-01-24,324.2103750681229,315.3342589277592,332.74542605784706,
1277,2020-01-25,324.712015748804,316.223525248938,332.7016373647701,
1278,2020-01-26,324.8771370170409,315.69089946387624,333.32354396188936,
1279,2020-01-27,324.56887712132874,315.6223306410642,333.3210716004199,
1280,2020-01-28,324.8846665814957,315.92215920543134,333.5760304237,
1281,2020-01-29,325.0151662901051,315.70956901697485,334.54276681980525,
1282,2020-01-30,325.2090620228157,316.71157432327794,334.8801255523184,
