,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,   -0.8799,    0.073,  -11.999, 0.000,   -1.024,   -0.736
2,ar.L2,   -0.0677,    0.019,   -3.556, 0.000,   -0.105,   -0.030
3,ma.L1,    0.1604,    1.500,    0.107, 0.915,   -2.780,    3.101
4,ma.L2,   -1.1604,    1.763,   -0.658, 0.510,   -4.616,    2.295
5,ma.S.L5,   -0.0536,    0.024,   -2.250, 0.024,   -0.100,   -0.007
6,ma.S.L10,   -0.0255,    0.021,   -1.211, 0.226,   -0.067,    0.016
7,sigma2,    3.1110,    4.750,    0.655, 0.512,   -6.198,   12.420
