,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,   -0.9762,    0.019,  -50.221, 0.000,   -1.014,   -0.938
2,ar.L2,    0.0076,    0.020,    0.389, 0.697,   -0.031,    0.046
3,ma.L1, 5.419e-05,    1.955, 2.77e-05, 1.000,   -3.831,    3.831
4,ma.L2,   -1.0001,    1.943,   -0.515, 0.607,   -4.809,    2.809
5,ma.S.L5,   -0.0612,    0.028,   -2.207, 0.027,   -0.116,   -0.007
6,ma.S.L10,   -0.0398,    0.025,   -1.593, 0.111,   -0.089,    0.009
7,sigma2,    0.2173,    0.422,    0.515, 0.607,   -0.610,    1.045
