Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,101.589996,101.599998,101.580002,101.599998,101.210945,1323800
2019-11-04,101.610001,101.610001,101.570000,101.589996,101.200981,1064600
2019-11-05,101.610001,101.610001,101.580002,101.580002,101.191025,1083100
2019-11-06,101.599998,101.599998,101.580002,101.599998,101.210945,1020300
2019-11-07,101.610001,101.610001,101.589996,101.599998,101.210945,873900
2019-11-08,101.589996,101.589996,101.580002,101.589996,101.200981,928200
2019-11-11,101.589996,101.599998,101.580002,101.589996,101.200981,585200
2019-11-12,101.599998,101.610001,101.580002,101.580002,101.191025,732500
2019-11-13,101.589996,101.610001,101.589996,101.599998,101.210945,1194800
2019-11-14,101.629997,101.639999,101.620003,101.639999,101.250786,868900
2019-11-15,101.660004,101.680000,101.660004,101.660004,101.270721,1805800
2019-11-18,101.669998,101.690002,101.669998,101.680000,101.290642,1166700
2019-11-19,101.690002,101.709999,101.690002,101.690002,101.300606,629400
2019-11-20,101.699997,101.720001,101.699997,101.709999,101.320518,725200
2019-11-21,101.730003,101.730003,101.709999,101.730003,101.340446,720700
2019-11-22,101.739998,101.739998,101.730003,101.739998,101.350410,1178000
2019-11-25,101.730003,101.739998,101.720001,101.730003,101.340446,1168100
2019-11-26,101.739998,101.750000,101.730003,101.750000,101.360374,1090400
2019-11-27,101.739998,101.760002,101.739998,101.739998,101.350410,1074800
2019-11-29,101.760002,101.769997,101.750000,101.760002,101.370338,457000
2019-12-02,101.580002,101.580002,101.550003,101.570000,101.380318,2645100
2019-12-03,101.580002,101.610001,101.580002,101.589996,101.400276,3064400
2019-12-04,101.599998,101.620003,101.589996,101.599998,101.410255,2085300
2019-12-05,101.610001,101.629997,101.599998,101.610001,101.420242,704400
2019-12-06,101.620003,101.629997,101.610001,101.629997,101.440201,988200
2019-12-09,101.639999,101.639999,101.629997,101.629997,101.440201,815100
2019-12-10,101.639999,101.639999,101.620003,101.639999,101.450180,1077800
2019-12-11,101.639999,101.639999,101.620003,101.639999,101.450180,911200
2019-12-12,101.650002,101.650002,101.629997,101.629997,101.440201,853500
2019-12-13,101.639999,101.660004,101.629997,101.650002,101.460167,929400
2019-12-16,101.680000,101.680000,101.660004,101.660004,101.470154,1038500
2019-12-17,101.669998,101.680000,101.650002,101.650002,101.460167,2913900
2019-12-18,101.650002,101.669998,101.650002,101.660004,101.470154,1020900
2019-12-19,101.680000,101.680000,101.660004,101.660004,101.470154,1466600
2019-12-20,101.680000,101.690002,101.660004,101.680000,101.490112,1168000
2019-12-23,101.680000,101.690002,101.680000,101.680000,101.490112,769700
2019-12-24,101.660004,101.699997,101.660004,101.699997,101.510071,477500
2019-12-26,101.720001,101.730003,101.709999,101.709999,101.520050,702700
2019-12-27,101.720001,101.739998,101.720001,101.739998,101.549995,872700
2019-12-30,101.580002,101.580002,101.559998,101.570000,101.570000,1267800
2019-12-31,101.589996,101.599998,101.580002,101.589996,101.589996,1023500
2020-01-02,101.589996,101.610001,101.589996,101.599998,101.599998,1547200
2020-01-03,101.610001,101.639999,101.610001,101.629997,101.629997,1024700
2020-01-06,101.650002,101.669998,101.650002,101.650002,101.650002,907400
2020-01-07,101.680000,101.680000,101.660004,101.669998,101.669998,1217100
2020-01-08,101.669998,101.680000,101.639999,101.669998,101.669998,1292400
2020-01-09,101.680000,101.680000,101.660004,101.669998,101.669998,1186400
2020-01-10,101.699997,101.709999,101.690002,101.690002,101.690002,1079700
2020-01-13,101.720001,101.720001,101.709999,101.720001,101.720001,1054900
2020-01-14,101.730003,101.739998,101.709999,101.739998,101.739998,1204700
