,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,    0.7173,    0.085,    8.427, 0.000,    0.550,    0.884
2,ar.L2,    0.0469,    0.027,    1.766, 0.077,   -0.005,    0.099
3,ma.L1,   -1.7610,    0.086,  -20.562, 0.000,   -1.929,   -1.593
4,ma.L2,    0.7621,    0.085,    8.943, 0.000,    0.595,    0.929
5,ma.S.L5,   -0.0307,    0.027,   -1.119, 0.263,   -0.084,    0.023
6,ma.S.L10,    0.0211,    0.029,    0.715, 0.475,   -0.037,    0.079
7,sigma2,    0.1394,    0.005,   29.379, 0.000,    0.130,    0.149
