Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,127.379997,127.830002,127.300003,127.489998,126.811302,11238400
2019-11-04,127.150002,127.180000,126.849998,126.889999,126.214493,10122100
2019-11-05,126.339996,126.559998,126.019997,126.160004,125.488388,10409200
2019-11-06,126.510002,126.900002,126.500000,126.870003,126.194603,8496500
2019-11-07,126.320000,126.440002,125.739998,125.879997,125.209869,14799000
2019-11-08,125.860001,126.169998,125.709999,125.709999,125.040779,6256300
2019-11-11,125.959999,125.989998,125.660004,125.750000,125.080566,3231600
2019-11-12,125.860001,125.970001,125.610001,125.870003,125.199936,9936600
2019-11-13,126.230003,126.339996,126.110001,126.169998,125.498337,10280100
2019-11-14,126.639999,126.910004,126.639999,126.830002,126.154823,10163800
2019-11-15,126.739998,126.989998,126.599998,126.849998,126.174713,5411900
2019-11-18,127.040001,127.169998,126.910004,126.989998,126.313965,9148900
2019-11-19,127.080002,127.279999,127.040001,127.239998,126.562630,3818800
2019-11-20,127.410004,127.550003,127.309998,127.419998,126.741676,5395800
2019-11-21,127.169998,127.300003,127.010002,127.120003,126.443275,8425700
2019-11-22,127.419998,127.510002,127.230003,127.470001,126.791412,5276600
2019-11-25,127.639999,127.980003,127.629997,127.910004,127.229073,6808600
2019-11-26,128.050003,128.330002,128.029999,128.240005,127.557320,8688800
2019-11-27,127.989998,128.279999,127.980003,128.229996,127.547356,7264000
2019-11-29,128.179993,128.259995,127.839996,127.970001,127.288750,5260900
2019-12-02,127.070000,127.150002,126.800003,127.070000,126.736206,14911500
2019-12-03,127.639999,128.169998,127.510002,128.050003,127.713638,9376800
2019-12-04,127.849998,128.020004,127.459999,127.879997,127.544075,11177600
2019-12-05,127.680000,127.849998,127.470001,127.739998,127.404449,5700600
2019-12-06,127.370003,127.860001,127.300003,127.669998,127.334633,6149500
2019-12-09,127.980003,127.989998,127.620003,127.650002,127.314690,4545300
2019-12-10,127.820000,127.930000,127.529999,127.650002,127.314690,6425500
2019-12-11,127.879997,128.289993,127.830002,128.149994,127.813362,4417100
2019-12-12,128.089996,128.130005,127.169998,127.559998,127.224915,10375000
2019-12-13,128.039993,128.460007,127.699997,128.389999,128.052734,12474100
2019-12-16,128.240005,128.309998,127.970001,128.100006,127.763512,8062600
2019-12-17,128.220001,128.350006,127.970001,128.000000,127.663765,10886800
2019-12-18,128.009995,128.110001,127.809998,127.910004,127.574005,10205500
2019-12-19,127.570000,127.839996,127.500000,127.699997,127.699997,9307000
2019-12-20,127.629997,127.730003,127.480003,127.660004,127.660004,8336900
2019-12-23,127.800003,127.860001,127.470001,127.720001,127.720001,3827500
2019-12-24,127.559998,127.959999,127.500000,127.849998,127.849998,2638000
2019-12-26,128.039993,128.100006,127.800003,128.080002,128.080002,3879900
2019-12-27,128.350006,128.399994,128.259995,128.259995,128.259995,8752100
2019-12-30,127.900002,128.500000,127.779999,128.490005,128.490005,9993800
2019-12-31,128.009995,128.250000,127.889999,127.959999,127.959999,5499400
2020-01-02,128.339996,128.570007,128.059998,128.229996,128.229996,15348700
2020-01-03,128.399994,128.710007,128.270004,128.669998,128.669998,10110900
2020-01-06,128.690002,128.860001,128.139999,128.240005,128.240005,13894300
2020-01-07,128.169998,128.179993,127.839996,127.910004,127.910004,8211700
2020-01-08,128.009995,128.320007,127.669998,127.730003,127.730003,12268500
2020-01-09,127.699997,128.389999,127.660004,128.339996,128.339996,14415100
2020-01-10,128.470001,128.850006,128.410004,128.699997,128.699997,8263500
2020-01-13,128.520004,128.550003,128.330002,128.389999,128.389999,4477400
2020-01-14,128.360001,128.570007,128.320007,128.550003,128.550003,11066300
