Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,77.330002,77.680000,77.330002,77.669998,77.086060,595200
2019-11-04,78.190002,78.250000,77.970001,78.040001,77.453285,1222400
2019-11-05,78.169998,78.220001,77.919998,78.050003,77.463211,1460800
2019-11-06,77.989998,78.129997,77.820000,78.040001,77.453285,995500
2019-11-07,78.410004,78.540001,78.199997,78.290001,77.701401,1312000
2019-11-08,78.080002,78.349998,77.900002,78.349998,77.760948,898400
2019-11-11,77.919998,78.169998,77.800003,78.150002,77.562454,777400
2019-11-12,78.150002,78.419998,78.040001,78.209999,77.622002,1553600
2019-11-13,77.800003,78.150002,77.650002,78.070000,77.483055,1057900
2019-11-14,77.930000,78.089996,77.769997,78.089996,77.502899,923100
2019-11-15,78.430000,78.639999,78.309998,78.639999,78.048767,649000
2019-11-18,78.589996,78.720001,78.370003,78.669998,78.078545,1002500
2019-11-19,78.919998,78.919998,78.510002,78.690002,78.098396,981000
2019-11-20,78.459999,78.580002,77.959999,78.300003,77.711327,3309700
2019-11-21,78.330002,78.330002,77.959999,78.209999,77.622002,780800
2019-11-22,78.459999,78.459999,78.120003,78.379997,77.790726,1035600
2019-11-25,78.690002,79.000000,78.629997,78.980003,78.386215,1387100
2019-11-26,78.970001,79.099998,78.830002,79.050003,78.455688,1275500
2019-11-27,79.239998,79.389999,79.139999,79.370003,78.773285,4083700
2019-11-29,79.010002,79.059998,78.839996,78.879997,78.286964,698500
2019-12-02,78.900002,78.930000,78.169998,78.320000,77.731178,1349300
2019-12-03,77.669998,77.919998,77.309998,77.910004,77.324265,3234400
2019-12-04,78.339996,78.599998,78.260002,78.500000,77.909821,1299600
2019-12-05,78.660004,78.680000,78.300003,78.570000,77.979294,1227500
2019-12-06,79.160004,79.349998,79.099998,79.269997,78.674034,1497500
2019-12-09,79.169998,79.309998,78.970001,79.000000,78.406067,1074900
2019-12-10,78.970001,79.129997,78.760002,78.930000,78.336594,1684500
2019-12-11,79.050003,79.370003,79.019997,79.269997,78.674034,1081300
2019-12-12,79.330002,80.120003,79.239998,80.000000,79.398544,2525600
2019-12-13,80.089996,80.589996,79.870003,80.139999,79.537491,2941100
2019-12-16,80.779999,80.949997,80.680000,80.820000,80.212379,2190200
2019-12-17,80.820000,80.879997,80.720001,80.790001,80.182610,5313900
2019-12-18,80.910004,80.910004,80.760002,80.820000,80.212379,1062400
2019-12-19,80.769997,81.029999,80.739998,81.029999,80.420799,866900
2019-12-20,81.309998,81.370003,81.190002,81.269997,80.658997,1877600
2019-12-23,80.809998,80.809998,80.680000,80.769997,80.769997,3628500
2019-12-24,80.800003,80.919998,80.650002,80.739998,80.739998,1185700
2019-12-26,80.910004,81.120003,80.860001,81.110001,81.110001,750100
2019-12-27,81.400002,81.410004,81.059998,81.209999,81.209999,1034800
2019-12-30,81.309998,81.360001,80.650002,80.730003,80.730003,1041500
2019-12-31,80.739998,81.029999,80.610001,80.989998,80.989998,1034700
2020-01-02,81.430000,81.809998,81.320000,81.809998,81.809998,946100
2020-01-03,80.900002,81.400002,80.800003,81.070000,81.070000,2310500
2020-01-06,80.669998,81.370003,80.660004,81.370003,81.370003,2641500
2020-01-07,81.290001,81.290001,80.989998,81.120003,81.120003,1339100
2020-01-08,81.089996,81.730003,81.080002,81.449997,81.449997,3532800
2020-01-09,81.820000,81.860001,81.599998,81.849998,81.849998,2239700
2020-01-10,82.000000,82.040001,81.570000,81.680000,81.680000,2477100
2020-01-13,81.839996,82.260002,81.699997,82.260002,82.260002,1698100
2020-01-14,82.110001,82.410004,82.010002,82.230003,82.230003,1731100
