,ds,yhat,yhat_lower,yhat_upper,Adj Close,difference,difference_pct
1244,2019-12-24,316.1088176141303,307.5052534399159,324.72952012092594,321.230011,5.121193385869674,1.59%
1245,2019-12-26,316.2017036357761,308.271652743509,324.02341273397764,322.940002,6.738298364223908,2.09%
1246,2019-12-27,316.1573864308352,308.0699182397244,324.8288241463997,322.859985,6.70259856916482,2.08%
1247,2019-12-30,316.3666063006113,308.19511162058103,324.59708672155676,321.079987,4.713380699388722,1.47%
1248,2019-12-31,316.71611370960727,308.5798870074698,325.0792838534835,321.859985,5.143871290392724,1.60%
1249,2020-01-01,316.91347180501367,308.2954407934223,325.74643414473945,,,nan%
1250,2020-01-02,317.197419353374,308.44891939042,326.1865232546937,324.869995,7.672575646626001,2.36%
1251,2020-01-03,317.3575725333517,309.60559959150487,325.4454472093631,322.410004,5.052431466648329,1.57%
1252,2020-01-04,314.6899419057063,306.1445235620769,322.77749890732645,,,nan%
1253,2020-01-05,315.00419346427236,306.30759227805174,323.3287516769112,,,nan%
1254,2020-01-06,318.17241125914245,309.1771746382849,326.79469255788064,323.640015,5.467603740857555,1.69%
1255,2020-01-07,318.70764495289865,310.08603255004437,327.1922243810337,322.730011,4.022366047101343,1.25%
1256,2020-01-08,319.07627757153415,310.97551078423277,328.0259084236833,324.450012,5.373734428465866,1.66%
1257,2020-01-09,319.5136556393624,310.7913083264988,327.6968132244089,326.649994,7.1363383606375805,2.18%
1258,2020-01-10,319.80641356072346,311.5936683094308,327.9635195384208,325.709991,5.903577439276546,1.81%
1259,2020-01-11,317.24806511460014,308.94672247984875,325.4337555592897,,,nan%
1260,2020-01-12,317.64632771887386,309.517594714327,325.35391367629387,,,nan%
1261,2020-01-13,320.87193526159155,313.13435857751733,329.13666702434915,327.950012,7.07807673840847,2.16%
1262,2020-01-14,321.4372214895198,312.85252761577146,329.9448983484277,327.450012,6.012790510480215,1.84%
1263,2020-01-15,321.8085082047515,313.8496171232032,329.8303166780529,,,nan%
1264,2020-01-16,322.2217398367782,313.38524300575955,330.6684172889365,,,nan%
1265,2020-01-17,322.4647960378258,314.59514880063267,331.291146992687,,,nan%
1266,2020-01-18,319.8330553667861,311.1809493025734,328.85645904432556,,,nan%
1267,2020-01-19,320.1366763284678,311.91725311909744,328.59233811125256,,,nan%
1268,2020-01-20,323.2493525721476,314.87903784075644,332.48274239112845,,,nan%
1269,2020-01-21,323.686825617543,315.2518646172285,332.7385445799306,,,nan%
1270,2020-01-22,323.9191910737746,315.5895399717537,332.7656762520025,,,nan%
1271,2020-01-23,324.18644192639687,315.12316087588647,332.74963837444125,,,nan%
1272,2020-01-24,324.280682789614,315.6114850821514,332.8080671984391,,,nan%
1273,2020-01-25,321.5015906218553,312.84380522563475,330.0738760117914,,,nan%
1274,2020-01-26,321.66359072519606,313.2413851685917,330.51910388098736,,,nan%
1275,2020-01-27,324.64450744128277,316.48047852606095,333.62032803383767,,,nan%
1276,2020-01-28,324.9639755081458,316.4469725751394,333.91004340768507,,,nan%
1277,2020-01-29,325.0956505605472,315.8581747367326,333.78750122194015,,,nan%
1278,2020-01-30,325.2826647215936,316.9910722911245,334.278225173042,,,nan%
