,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,   -0.9384,    0.048,  -19.368, 0.000,   -1.033,   -0.843
2,ar.L2,   -0.1083,    0.018,   -5.884, 0.000,   -0.144,   -0.072
3,ma.L1,    0.1245,    0.058,    2.153, 0.031,    0.011,    0.238
4,ma.L2,   -1.1257,    0.060,  -18.723, 0.000,   -1.244,   -1.008
5,ma.S.L5,   -0.0739,    0.021,   -3.487, 0.000,   -0.115,   -0.032
6,ma.S.L10,    0.0158,    0.019,    0.815, 0.415,   -0.022,    0.054
7,sigma2,    0.3496,    0.036,    9.771, 0.000,    0.279,    0.420
