,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,   -0.9197,    0.058,  -15.842, 0.000,   -1.034,   -0.806
2,ar.L2,   -0.0868,    0.019,   -4.473, 0.000,   -0.125,   -0.049
3,ma.L1,    0.1322,    7.520,    0.018, 0.986,  -14.607,   14.872
4,ma.L2,   -1.1322,    8.523,   -0.133, 0.894,  -17.837,   15.573
5,ma.S.L5,   -0.0713,    0.023,   -3.125, 0.002,   -0.116,   -0.027
6,ma.S.L10,   -0.0126,    0.019,   -0.664, 0.507,   -0.050,    0.025
7,sigma2,    1.9547,   14.712,    0.133, 0.894,  -26.880,   30.789
