,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,   -0.8144,    0.086,   -9.419, 0.000,   -0.984,   -0.645
2,ar.L2,   -0.0672,    0.019,   -3.463, 0.001,   -0.105,   -0.029
3,ma.L1,    0.2436,    2.389,    0.102, 0.919,   -4.439,    4.926
4,ma.L2,   -1.2436,    3.007,   -0.414, 0.679,   -7.137,    4.650
5,ma.S.L5,   -0.0564,    0.024,   -2.324, 0.020,   -0.104,   -0.009
6,ma.S.L10,   -0.0249,    0.021,   -1.194, 0.233,   -0.066,    0.016
7,sigma2,    0.5708,    1.387,    0.411, 0.681,   -2.148,    3.290
