,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,   -0.4964,    0.557,   -0.892, 0.373,   -1.588,    0.595
2,ar.L2,    0.0753,    0.052,    1.460, 0.144,   -0.026,    0.176
3,ma.L1,   -0.4075,    1.608,   -0.253, 0.800,   -3.558,    2.743
4,ma.L2,   -0.5925,    1.018,   -0.582, 0.561,   -2.588,    1.403
5,ma.S.L5,    0.0484,    0.024,    1.979, 0.048,    0.000,    0.096
6,ma.S.L10,   -0.0224,    0.023,   -0.956, 0.339,   -0.068,    0.024
7,sigma2,    0.1624,    0.241,    0.675, 0.500,   -0.309,    0.634
