,,coef,std err,z,P>|z|,[0.025,0.975]
1,ar.L1,   -0.8652,    0.079,  -10.973, 0.000,   -1.020,   -0.711
2,ar.L2,   -0.0607,    0.020,   -3.083, 0.002,   -0.099,   -0.022
3,ma.L1,    0.1679,    2.796,    0.060, 0.952,   -5.311,    5.647
4,ma.L2,   -1.1679,    3.299,   -0.354, 0.723,   -7.634,    5.299
5,ma.S.L5,   -0.0603,    0.024,   -2.514, 0.012,   -0.107,   -0.013
6,ma.S.L10,   -0.0196,    0.021,   -0.931, 0.352,   -0.061,    0.022
7,sigma2,    0.6473,    1.835,    0.353, 0.724,   -2.950,    4.245
